episode,avg_reward,avg_loss,avg_td_error,capital,sma_reward
287.0,-113.57142857142857,4.631981872376942,-40.66693405877976,0.0,-98.28571428571428
288.0,-94.28571428571429,4.844510850452242,-45.970723470052086,0.0,-98.07142857142857
289.0,-90.71428571428571,4.487497136706398,-39.071890694754465,0.0,-98.49999999999999
290.0,-83.57142857142857,3.936112471989223,-14.44834972563244,0.0,-94.28571428571429
291.0,-89.28571428571429,3.733568713778541,6.931031726655506,0.0,-95.57142857142857
292.0,-94.28571428571429,3.460297323408581,-2.6994737897600447,0.0,-94.78571428571429
293.0,-100.0,3.5719534442538308,-18.749981108165922,0.0,-96.0
294.0,-108.57142857142857,3.9557802904219854,-24.80056617373512,0.0,-97.85714285714286
295.0,-88.57142857142857,4.2185613087245395,-30.320783342633927,0.0,-98.5
296.0,-103.57142857142857,4.648937293461391,-44.18614269438244,0.0,-96.64285714285714
297.0,-105.71428571428571,5.0499526886712935,-32.4231683640253,0.0,-95.85714285714286
298.0,-122.85714285714286,5.842003867739723,-96.35093470982143,0.0,-98.71428571428571
299.0,-67.85714285714286,5.018716925666446,-13.824278331938244,0.0,-96.42857142857143
300.0,-91.42857142857143,3.9611306871686662,39.594505673363095,0.0,-97.21428571428572
301.0,-95.71428571428571,5.163574582054501,68.93827311197917,0.0,-97.85714285714286
302.0,-104.28571428571429,4.258261317298526,20.540509905133927,0.0,-98.85714285714286
303.0,-90.71428571428571,4.5630335467202325,69.29964192708333,0.0,-97.92857142857142
304.0,-83.57142857142857,3.781038931437901,38.62603759765625,0.0,-95.42857142857142
305.0,-115.0,4.459183545339675,9.579312279110862,0.0,-98.07142857142857
306.0,-107.14285714285714,3.8949255489167713,21.322339739118302,0.0,-98.42857142857143
307.0,-108.57142857142857,4.133418832506452,-4.295389084588914,0.0,-98.71428571428572
308.0,-97.14285714285714,3.9961236658550443,13.286753336588541,0.0,-96.14285714285714
309.0,-79.28571428571429,4.662663732256208,-18.48452613467262,0.0,-97.28571428571429
310.0,-57.857142857142854,3.486478771482195,5.632642110188802,0.0,-93.92857142857142
311.0,-91.42857142857143,3.732209784643991,-34.2627679734003,0.0,-93.5
312.0,-64.28571428571429,4.37894902910505,-27.822367350260418,0.0,-89.5
313.0,-74.28571428571429,3.0733804362160817,-3.2681114560081843,0.0,-87.85714285714286
314.0,-107.85714285714286,4.6683008670806885,-62.158028738839285,0.0,-90.28571428571429
315.0,-77.85714285714286,5.153337660289946,-93.49744233630952,0.0,-86.57142857142858
316.0,-100.71428571428571,4.645245302291143,-2.801248096284412,0.0,-85.92857142857142
317.0,-84.28571428571429,3.2000601405189153,14.142413911365328,0.0,-83.5
318.0,-80.71428571428571,4.013398715427944,-48.125558035714285,0.0,-81.85714285714286
319.0,-97.14285714285714,4.298532122657413,-34.107352120535715,0.0,-83.64285714285714
320.0,-97.14285714285714,4.491526876177106,-45.79087902250744,0.0,-87.57142857142858
321.0,-91.42857142857143,4.5749475955963135,-10.598945980980282,0.0,-87.57142857142858
322.0,-84.28571428571429,4.725749583471389,-24.14948236374628,0.0,-89.57142857142857
323.0,-105.0,4.680843330564953,-27.661626906622026,0.0,-92.64285714285714
324.0,-64.28571428571429,4.644313925788516,-31.869922456287203,0.0,-88.28571428571429
325.0,-99.28571428571429,4.22676310085115,-6.813963390531994,0.0,-90.42857142857143
326.0,-85.0,3.4059245132264637,-58.43779064360119,0.0,-88.85714285714286
